ID	ProcessClassPhaseParameter_ID	Phase_ID	Name	Description	TagAddress	MaterialTagAddress	MaterialNameTagAddress	MaterialCodeTagAddress	MaterialSupplier1TagAddress	MaterialSupplier2TagAddress	LastSaved	ConfiguredBy
186	90	413	T0514_Fill_TotalWaterSP	Total Water SP	T0514_Unit_Par_TotalWaterSP	NULL	NULL	NULL	NULL	NULL	2022-05-23 09:30:15.850	TPMDB
187	90	420	T0515_Fill_TotalWaterSP	Total Water SP	T0515_Unit_Par_TotalWaterSP	NULL	NULL	NULL	NULL	NULL	2022-05-23 09:30:15.850	TPMDB
188	90	427	T0516_Fill_TotalWaterSP	Total Water SP	T0516_Unit_Par_TotalWaterSP	NULL	NULL	NULL	NULL	NULL	2022-05-23 09:30:15.853	TPMDB
189	91	392	T0511_Fill_FinalBrixSP	Final Brix SP	T0511_Unit_Par_FinalBrixSP	NULL	NULL	NULL	NULL	NULL	2022-04-14 15:23:38.380	TPMDB
190	91	399	T0512_Fill_FinalBrixSP	Final Brix SP	T0512_Unit_Par_FinalBrixSP	NULL	NULL	NULL	NULL	NULL	2022-04-14 15:23:38.380	TPMDB
191	91	406	T0513_Fill_FinalBrixSP	Final Brix SP	T0513_Unit_Par_FinalBrixSP	NULL	NULL	NULL	NULL	NULL	2022-04-14 15:23:38.380	TPMDB
192	91	413	T0514_Fill_FinalBrixSP	Final Brix SP	T0514_Unit_Par_FinalBrixSP	NULL	NULL	NULL	NULL	NULL	2022-04-14 15:24:27.657	TPMDB
193	91	420	T0515_Fill_FinalBrixSP	Final Brix SP	T0515_Unit_Par_FinalBrixSP	NULL	NULL	NULL	NULL	NULL	2022-04-14 15:24:27.670	TPMDB
194	91	427	T0516_Fill_FinalBrixSP	Final Brix SP	T0516_Unit_Par_FinalBrixSP	NULL	NULL	NULL	NULL	NULL	2022-04-14 15:24:27.670	TPMDB
195	92	392	T0511_Fill_FinalDensitySP	Final Density SP	T0511_Unit_Par_FinalDensitySP	NULL	NULL	NULL	NULL	NULL	2022-04-14 15:23:38.380	TPMDB
196	92	399	T0512_Fill_FinalDensitySP	Final Density SP	T0512_Unit_Par_FinalDensitySP	NULL	NULL	NULL	NULL	NULL	2022-04-14 15:23:38.380	TPMDB
197	92	406	T0513_Fill_FinalDensitySP	Final Density SP	T0513_Unit_Par_FinalDensitySP	NULL	NULL	NULL	NULL	NULL	2022-04-14 15:23:38.380	TPMDB
198	92	413	T0514_Fill_FinalDensitySP	Final Density SP	T0514_Unit_Par_FinalDensitySP	NULL	NULL	NULL	NULL	NULL	2022-04-14 15:24:27.657	TPMDB
199	92	420	T0515_Fill_FinalDensitySP	Final Density SP	T0515_Unit_Par_FinalDensitySP	NULL	NULL	NULL	NULL	NULL	2022-04-14 15:24:27.670	TPMDB
200	92	427	T0516_Fill_FinalDensitySP	Final Density SP	T0516_Unit_Par_FinalDensitySP	NULL	NULL	NULL	NULL	NULL	2022-04-14 15:24:27.670	TPMDB
201	93	392	T0511_Fill_RecPumpDischSL	Recycle Pump during emptying phase	T0511_Unit_Par_RecPumpDischSL	NULL	NULL	NULL	NULL	NULL	2022-04-14 15:23:38.380	TPMDB
202	93	399	T0512_Fill_RecPumpDischSL	Recycle Pump during emptying phase	T0512_Unit_Par_RecPumpDischSL	NULL	NULL	NULL	NULL	NULL	2022-04-14 15:23:38.380	TPMDB
203	93	406	T0513_Fill_RecPumpDischSL	Recycle Pump during emptying phase	T0513_Unit_Par_RecPumpDischSL	NULL	NULL	NULL	NULL	NULL	2022-04-14 15:23:38.380	TPMDB
204	93	413	T0514_Fill_RecPumpDischSL	Recycle Pump during emptying phase	T0514_Unit_Par_RecPumpDischSL	NULL	NULL	NULL	NULL	NULL	2022-04-14 15:24:27.657	TPMDB
205	93	420	T0515_Fill_RecPumpDischSL	Recycle Pump during emptying phase	T0515_Unit_Par_RecPumpDischSL	NULL	NULL	NULL	NULL	NULL	2022-04-14 15:24:27.670	TPMDB
206	93	427	T0516_Fill_RecPumpDischSL	Recycle Pump during emptying phase	T0516_Unit_Par_RecPumpDischSL	NULL	NULL	NULL	NULL	NULL	2022-04-14 15:24:27.670	TPMDB
207	1138	590	L1532_Prod_MaterialID	MaterialID	L1532_Phase_Prod_Par_MaterialID		NULL	NULL	NULL	NULL	2022-06-14 15:43:14.853	TPMDB
208	1138	592	L1531_Prod_MaterialID	MaterialID	L1531_Phase_Prod_Par_MaterialID		NULL	NULL	NULL	NULL	2022-06-14 15:43:14.853	TPMDB
209	1139	616	L1121_Prod_MaterialID	MaterialID	L1121_Phase_Prod_Par_MaterialID		NULL	NULL	NULL	NULL	2022-06-14 15:43:14.837	TPMDB
210	1140	673	L4713_Prod_MaterialID	MaterialID	L4713_Phase_Prod_Par_MaterialID		NULL	NULL	NULL	NULL	2022-06-14 15:43:14.877	TPMDB
211	1140	678	L4712_Prod_MaterialID	MaterialID	L4712_Phase_Prod_Par_MaterialID		NULL	NULL	NULL	NULL	2022-06-14 15:43:14.877	TPMDB
212	1140	683	L4711_Prod_MaterialID	MaterialID	L4711_Phase_Prod_Par_MaterialID		NULL	NULL	NULL	NULL	2022-06-14 15:43:14.877	TPMDB
213	1141	739	L1122_Prod_MaterialID	MaterialID	L1122_Phase_Prod_Par_MaterialID		NULL	NULL	NULL	NULL	2022-06-14 15:43:14.840	TPMDB
214	1141	752	L1123_Prod_MaterialID	MaterialID	L1123_Phase_Prod_Par_MaterialID		NULL	NULL	NULL	NULL	2022-06-14 15:43:14.840	TPMDB
215	1141	765	L1124_Prod_MaterialID	MaterialID	L1124_Phase_Prod_Par_MaterialID		NULL	NULL	NULL	NULL	2022-06-14 15:43:14.840	TPMDB
225	1143	1204	L0130_Prod_TargetAmount	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2022-09-27 11:46:55.343	TPMDB
